WT,Dmel-983KO,Dmel-975KO
0.147826087,0.057971014,0.536231884
0.837037037,0.944444444,0.666666667
0.427710843,0.866071429,0.551282051
0.49137931,0.421686747,0.166666667
0.422413793,0.378378378,0.490066225
0.671328671,0.733606557,0.316384181
0.19047619,0.754491018,0.416666667
0.488,0.891891892,0.64516129
0.035714286,0.878571429,0.32
0.351351351,0.56424581,0.847826087
0.243055556,0.975609756,0.285714286
0.503144654,0.178947368,0.306930693
0.012195122,0.54,0.483695652
0.234177215,0.582781457,0.540983607
0.170542636,0.730496454,0.138554217
0.431654676,0.012345679,0.321167883
0.155555556,0.324324324,0.475903614
0.242105263,0.373493976,0.739130435
0.476190476,0.126436782,0.112359551
0.721649485,0.481481481,0.520833333
0.627118644,0.475409836,0.955882353
0.641221374,0.466101695,0.638888889
0.365714286,0.148809524,0.610738255
0.228070175,0.710526316,0.574257426
0.345360825,,0.63592233
0.106870229,,0.406896552
0.174496644,,0.814814815
0.544776119,,0.761904762
0.993865031,,0.697841727
0.796296296,,0.088607595
