WT,Dsim-983KO,Dsim-975KO
0.18,0.175438596,0.322580645
0.25,0.266666667,0.301587302
0.379310345,0.243243243,0.291666667
0.113636364,0.189189189,0.166666667
0.260869565,0.224137931,0.24691358
0.1,0.230769231,0.296875
0.126984127,0.431818182,0.133333333
0.26984127,0.219512195,0.271186441
0.183333333,0.166666667,0.273809524
0.166666667,0.307692308,0.136363636
0.333333333,0.326086957,0.120689655
0.303030303,0.341463415,0.285714286
0.260869565,0.25,0.260869565
0.134831461,0.37037037,0.173333333
0.310344828,0.22,0.1875
0.333333333,0.29787234,0.13253012
0.277777778,0.431818182,0.215053763
0.144927536,0.346938776,0.293333333
0.206896552,,
0.361702128,,
0.282051282,,
0.342857143,,
0.08,,
0.236363636,,
0.25862069,,
