WT,Dsim-983KO,Dsim-975KO
0.68627451,0.666666667,0.597222222
0.205882353,0.802469136,0.652173913
0.614035088,0.75862069,0.80952381
0.579710145,0.571428571,0.564102564
0.639344262,0.666666667,0.285714286
0.682539683,0.625,0.620689655
0.9,0.378787879,0.333333333
0.605633803,0.842105263,
0.5,0.615384615,
0.712121212,0.742857143,
0.775862069,0.734375,
0.666666667,0.673913043,
0.625,0.789473684,
0.360655738,0.660377358,
0.469387755,0.673076923,
0.509433962,0.743589744,
0.653846154,0.719298246,
0.659574468,0.796610169,
0.625,0.619047619,
0.75,0.741935484,
0.416666667,0.633802817,
0.343283582,0.637931034,
0.613333333,0.696428571,
0.513157895,0.787234043,
0.629032258,0.760869565,
0.811320755,0.65,
0.65,0.75862069,
0.627118644,0.807692308,
0.577777778,0.558139535,
0.666666667,,
0.657142857,,
0.683333333,,
