Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,read_mask (run),ReleaseDate,Sample Name,source_name,SRA Study,strain,tissue,quality_book_char (run)
SRR060643,RNA-Seq,36,147297960,PRJNA127489,SAMN00017157,65890113,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX023724,GSM548582,Illumina Genome Analyzer,GSM548582: A2_testes_total,SINGLE,size fractionation,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,10,2010-07-21T00:00:00Z,GSM548582,testes,SRP002877,A2,testes,@
SRR060645,RNA-Seq,36,269652600,PRJNA127489,SAMN00017159,185430460,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX023726,GSM548584,Illumina Genome Analyzer,GSM548584: yw67c23(2)_testes_total,SINGLE,size fractionation,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,10,2010-07-21T00:00:00Z,GSM548584,testes,SRP002877,yw67c23(2),testes,@
SRR060650,RNA-Seq,36,86688072,PRJNA127489,SAMN00017164,33856221,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX023731,GSM548589,Illumina Genome Analyzer,GSM548589: A1_testes_total,SINGLE,size fractionation,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,10,2010-07-21T00:00:00Z,GSM548589,testes,SRP002877,A1,testes,@
SRR060652,RNA-Seq,36,294061896,PRJNA127489,SAMN00017166,199302493,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX023733,GSM548591,Illumina Genome Analyzer,GSM548591: hs-Penelope_testes_total,SINGLE,size fractionation,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,10,2010-07-19T00:00:00Z,GSM548591,testes,SRP002877,hs-Penelope,testes,
SRR060657,RNA-Seq,36,242047656,PRJNA127489,SAMN00017171,161487253,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX023738,GSM548597,Illumina Genome Analyzer,GSM548597: 140_testes_total,SINGLE,size fractionation,TRANSCRIPTOMIC,Drosophila virilis,ILLUMINA,10,2010-07-21T00:00:00Z,GSM548597,testes,SRP002877,140,testes,@
SRR060659,RNA-Seq,36,269660448,PRJNA127489,SAMN00017173,189261910,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX023740,GSM548599,Illumina Genome Analyzer,GSM548599: Argentina_testes_total,SINGLE,size fractionation,TRANSCRIPTOMIC,Drosophila virilis,ILLUMINA,10,2010-07-21T00:00:00Z,GSM548599,testes,SRP002877,Argentina,testes,@
SRR060664,RNA-Seq,36,232645176,PRJNA127489,SAMN00017178,165685093,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX023745,GSM548604,Illumina Genome Analyzer,GSM548604: 9_males_carcasses_total,SINGLE,size fractionation,TRANSCRIPTOMIC,Drosophila virilis,ILLUMINA,10,2010-07-19T00:00:00Z,GSM548604,carcasses,SRP002877,9,carcasses,
SRR060666,RNA-Seq,36,218966580,PRJNA127489,SAMN00017180,155619500,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX023747,GSM548606,Illumina Genome Analyzer,GSM548606: 160_males_carcasses_total,SINGLE,size fractionation,TRANSCRIPTOMIC,Drosophila virilis,ILLUMINA,10,2010-07-19T00:00:00Z,GSM548606,carcasses,SRP002877,160,carcasses,
SRR060670,RNA-Seq,36,162677736,PRJNA127489,SAMN00017184,88423338,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX023751,GSM548610,Illumina Genome Analyzer,GSM548610: 9_testes_total,SINGLE,size fractionation,TRANSCRIPTOMIC,Drosophila virilis,ILLUMINA,10,2010-07-21T00:00:00Z,GSM548610,testes,SRP002877,9,testes,@
SRR060683,RNA-Seq,36,207007344,PRJNA127489,SAMN00017197,123322149,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX023764,GSM548623,Illumina Genome Analyzer,GSM548623: 160_testes_total,SINGLE,size fractionation,TRANSCRIPTOMIC,Drosophila virilis,ILLUMINA,10,2010-07-21T00:00:00Z,GSM548623,testes,SRP002877,160,testes,@
