a_Gene_ID	miRNA_family_ID	species_ID	MSA_start	MSA_end	UTR_start	UTR_end	Group_num	Site_type	miRNA in this species	Group_type	Species_in_this_group	Species_in_this_group_with_this_site_type	ORF_overlap
FBtr0076573	bantam-3p	28584	147	154	41	48	1	8mer-1a	x	8mer-1a	7217 7220 7227 7238 7240 7245 28584 42026		0
FBtr0076573	bantam-3p	42026	147	154	39	46	1	8mer-1a	x	8mer-1a	7217 7220 7227 7238 7240 7245 28584 42026		0
FBtr0076573	bantam-3p	7217	147	154	39	46	1	8mer-1a	x	8mer-1a	7217 7220 7227 7238 7240 7245 28584 42026		0
FBtr0076573	bantam-3p	7220	147	154	37	44	1	8mer-1a	x	8mer-1a	7217 7220 7227 7238 7240 7245 28584 42026		0
FBtr0076573	bantam-3p	7227	147	154	40	47	1	8mer-1a	x	8mer-1a	7217 7220 7227 7238 7240 7245 28584 42026		0
FBtr0076573	bantam-3p	7238	147	154	40	47	1	8mer-1a	x	8mer-1a	7217 7220 7227 7238 7240 7245 28584 42026		0
FBtr0076573	bantam-3p	7240	147	154	40	47	1	8mer-1a	x	8mer-1a	7217 7220 7227 7238 7240 7245 28584 42026		0
FBtr0076573	bantam-3p	7245	147	154	64	71	1	8mer-1a	x	8mer-1a	7217 7220 7227 7238 7240 7245 28584 42026		0
FBtr0076573	miR-1-3p	42026	663	668	417	422	2	6mer	x	6mer	7217 42026		0
FBtr0076573	miR-1-3p	7217	663	669	430	435	2	6mer	x	6mer	7217 42026		0
FBtr0081151	let-7-5p	1041015	64	72	42	48	3	7mer-m8	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	0
FBtr0081151	let-7-5p	125945	64	73	48	55	3	8mer-1a	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945	0
FBtr0081151	let-7-5p	28584	64	73	48	55	3	8mer-1a	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945	0
FBtr0081151	let-7-5p	29029	64	73	42	49	3	8mer-1a	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945	0
FBtr0081151	let-7-5p	29030	64	73	32	39	3	8mer-1a	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945	0
FBtr0081151	let-7-5p	30023	64	73	48	55	3	8mer-1a	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945	0
FBtr0081151	let-7-5p	30025	64	73	45	52	3	8mer-1a	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945	0
FBtr0081151	let-7-5p	30033	64	73	37	44	3	8mer-1a	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945	0
FBtr0081151	let-7-5p	42026	64	73	25	32	3	8mer-1a	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945	0
FBtr0081151	let-7-5p	7217	64	73	33	40	3	8mer-1a	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945	0
FBtr0081151	let-7-5p	7220	64	73	47	54	3	8mer-1a	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945	0
FBtr0081151	let-7-5p	7227	64	73	46	53	3	8mer-1a	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945	0
FBtr0081151	let-7-5p	7238	64	73	46	53	3	8mer-1a	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945	0
FBtr0081151	let-7-5p	7240	64	73	46	53	3	8mer-1a	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945	0
FBtr0081151	let-7-5p	7245	64	73	47	54	3	8mer-1a	x	7mer-m8+8mer-1a	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 7220 7227 7238 7240 7245 28584 29029 29030 30023 30025 30033 42026 125945	0
